20000, 5.09375, 5.0625, 5.21875, 5.125, 5.09375, 5.21875, 5.3125, 5.21875, 4.96875, 5.34375, 5.46875, 5.125, 5, 5.125, 5.28125, 5.1875, 5, 5.21875, 5.125, 5.09375, 5.34375, 5.1875, 5.28125, 5.21875, 5.28125, 5.46875, 5.625, 5.5, 5.375, 5.3125, 5.375, 5.28125, 5.3125, 5.40625, 5.4375, 5.21875, 5.375, 5.28125, 5.46875, 5.40625, 5.375, 5.4375, 5.28125, 5.34375, 5.4375, 5.34375, 5.375, 5.4375, 5.5, 5.3125, 5.53125, 
19000, 4.9375, 4.875, 4.9375, 4.75, 4.875, 4.90625, 4.90625, 4.96875, 5.09375, 4.84375, 4.78125, 4.78125, 4.875, 5.15625, 4.75, 5, 4.84375, 5.15625, 4.90625, 4.875, 4.78125, 4.90625, 4.90625, 4.875, 4.96875, 4.8125, 4.96875, 4.71875, 4.9375, 4.71875, 4.875, 4.875, 4.96875, 4.84375, 5.34375, 4.84375, 4.90625, 4.90625, 4.875, 4.8125, 4.9375, 4.96875, 4.84375, 4.9375, 4.96875, 4.90625, 5.03125, 4.90625, 4.96875, 5, 4.8125, 
18000, 4.21875, 3.8125, 4.5625, 4.4375, 4.53125, 4.375, 4.5, 4.53125, 4.46875, 4.21875, 4.5, 3.96875, 4.25, 4.03125, 4.5, 4.40625, 4.375, 4.3125, 3.8125, 4.5, 4.34375, 4, 4.21875, 3.875, 4.5625, 4.4375, 4.40625, 4.28125, 4.34375, 4.4375, 4.25, 4.3125, 4.46875, 4.3125, 4.375, 4.125, 4.125, 4.03125, 4, 5.03125, 4.625, 4.15625, 4.40625, 4.375, 4.09375, 4.1875, 4.125, 4.40625, 4.125, 4.5, 3.90625, 
17000, 4.21875, 3.9375, 4.125, 3.71875, 4.03125, 4.15625, 3.84375, 3.875, 4, 3.96875, 4.09375, 4, 4.03125, 3.90625, 4.09375, 4.0625, 3.65625, 4.03125, 3.84375, 4.375, 4.1875, 4.1875, 4.15625, 3.875, 4.25, 3.8125, 4.125, 4.03125, 3.78125, 4.1875, 4.0625, 4.21875, 4.125, 4.15625, 4.34375, 4.1875, 3.875, 4.09375, 3.5, 3.8125, 3.5625, 3.46875, 4, 3.84375, 4.0625, 3.5, 3.75, 4.0625, 3.625, 4.15625, 3.78125, 
16000, 3.40625, 3.25, 3.1875, 3.15625, 3.75, 3.21875, 3.75, 3.125, 3.25, 3.15625, 3.3125, 3.21875, 3.5625, 3.4375, 3.21875, 3.1875, 3.40625, 3.4375, 3.375, 3.21875, 3.46875, 3.3125, 3.46875, 3.21875, 3.5625, 3.3125, 3.625, 3.34375, 3.5625, 3.28125, 3.34375, 3.34375, 3.28125, 3.5, 3.34375, 3.1875, 3.46875, 3.28125, 3.34375, 3.625, 3.09375, 3.21875, 3.09375, 3.625, 3.8125, 3.1875, 3.34375, 3.25, 3.28125, 3.5625, 3.15625, 
15000, 2.8125, 2.96875, 2.84375, 3.03125, 3.3125, 2.90625, 3.375, 3, 2.84375, 2.84375, 3.09375, 2.96875, 3.03125, 2.96875, 2.90625, 3.4375, 3.0625, 2.90625, 3.1875, 3.5, 3, 2.9375, 3.125, 2.84375, 3.34375, 2.96875, 3.09375, 2.90625, 2.875, 3.21875, 3.34375, 3.3125, 3.25, 3.1875, 3.34375, 3.28125, 3.0625, 3.1875, 3.0625, 3.125, 3.1875, 3.09375, 3, 3.0625, 3.09375, 3.3125, 3.21875, 3.1875, 3.125, 3.03125, 3.21875, 
14000, 2.875, 2.75, 2.78125, 2.75, 2.75, 2.90625, 2.8125, 2.59375, 2.71875, 2.5625, 2.625, 2.53125, 2.53125, 2.96875, 2.625, 2.53125, 2.78125, 2.71875, 2.71875, 2.625, 2.75, 2.78125, 2.78125, 2.8125, 2.71875, 2.6875, 2.78125, 2.78125, 2.96875, 2.71875, 2.78125, 2.90625, 2.71875, 2.875, 2.8125, 2.5625, 2.5625, 2.5, 2.53125, 2.4375, 2.53125, 2.75, 2.65625, 2.5625, 2.46875, 2.5, 2.46875, 2.53125, 2.59375, 2.59375, 2.71875, 
13000, 2.5625, 2.25, 2.21875, 2.40625, 2.5, 2.3125, 2.5, 2.375, 2.3125, 2.4375, 2.40625, 2.46875, 2.4375, 2.46875, 2.4375, 2.46875, 2.3125, 2.4375, 2.4375, 2.3125, 2.5, 2.3125, 2.375, 2.46875, 2.40625, 2.40625, 2.46875, 2.46875, 2.46875, 2.5625, 2.375, 2.40625, 2.5, 2.375, 2.46875, 2.46875, 2.34375, 2.375, 2.5, 2.40625, 2.28125, 2.34375, 2.375, 2.5625, 2.4375, 2.34375, 2.34375, 2.5, 2.1875, 2.25, 2.25, 
12000, 1.96875, 2.03125, 1.96875, 1.90625, 2.0625, 1.96875, 2.28125, 1.96875, 1.9375, 1.90625, 2.0625, 1.9375, 1.90625, 1.96875, 1.90625, 1.9375, 2, 2.03125, 2, 2.0625, 2.1875, 2.0625, 2.1875, 2.0625, 1.96875, 2.15625, 1.9375, 1.96875, 1.96875, 1.96875, 2.09375, 2.0625, 2, 2, 1.9375, 1.90625, 1.9375, 2.1875, 1.9375, 1.90625, 1.96875, 1.875, 1.875, 1.9375, 1.90625, 2.09375, 2, 1.90625, 1.875, 1.875, 2, 
11000, 1.90625, 1.8125, 1.875, 1.75, 1.65625, 1.75, 1.71875, 1.59375, 1.71875, 1.6875, 1.6875, 1.71875, 1.71875, 1.6875, 1.6875, 1.625, 1.71875, 1.625, 1.78125, 1.65625, 1.75, 1.78125, 1.9375, 1.9375, 1.875, 1.8125, 1.75, 1.84375, 1.625, 1.6875, 1.71875, 1.71875, 1.71875, 1.6875, 1.6875, 1.71875, 1.65625, 1.75, 1.59375, 1.78125, 1.65625, 1.78125, 1.875, 1.625, 1.875, 1.875, 1.75, 1.71875, 1.78125, 1.78125, 1.75, 
10000, 1.5625, 1.53125, 1.46875, 1.5, 1.53125, 1.5625, 1.5625, 1.53125, 1.53125, 1.53125, 1.5, 1.53125, 1.5, 1.53125, 1.5625, 1.5, 1.5625, 1.53125, 1.53125, 1.53125, 1.53125, 1.53125, 1.5625, 1.59375, 1.5625, 1.53125, 1.5625, 1.59375, 1.5, 1.5625, 1.5625, 1.53125, 1.4375, 1.5, 1.40625, 1.5625, 1.375, 1.40625, 1.375, 1.34375, 1.375, 1.375, 1.4375, 1.375, 1.40625, 1.40625, 1.40625, 1.5, 1.46875, 1.46875, 1.375, 
